Identifier,Place of Publication,Date of Publication,Publisher,Title,Author
65026,Bruxelles,1850,,"Correspondance du Duc d'Albe sur l'invasion du Comte Louis de Nassau en Frise, en 1568, et les batailles de Heyligerlée et de Gemmingen; publiée par M. Gachard. (Extrait des Bulletins de la Commission Royale d'Histoire.)","ÁLVAREZ DE TOLEDO, Fernando - Duke de Alba"
66142,London,1803,"T. Cadell and W. Davies, etc.","Amadis de Gaul: a poem in three books; freely translated from the first part of the French version of Nicolas de Heberay [sic], Sieur des Essars; with notes: by William Stewart Rose: Amadis de Gaula (Spanish romance). English. Abridgements. - Book 1",
66840,Macerata,1874,,La Rivoluzione francese e l'ultimo de' pretesi Luigi XVII [i.e. A. J. M. Alday]. Studio storico critico,"AMANTE, Bruto."
67034,London,1850,Richard Bentley,"History of the War of the Sicilian Vespers ... [Translated by Anne B. I. Percy.] Edited, with an introduction and notes, by the Earl of Ellesmere","AMARI, Michele."
67200,London,1818,The Author,"Poems, by an Amateur [i.e. Bernard Barton]",
67519,Tours,1881,,"Louvois d'après sa correspondance, 1641-1691","AMBERT, Joachim - Baron"
67701,Tours,1874,,"Inventaire analytique des archives communales d'Amboise, 1421-1789. Suivi de documents inédits relatifs à l'histoire de la ville. Par M. l'abbé C. Chevalier",
68917,London,1833,Longman & Co.,America and the Americans. By a Citizen of the World [i.e. James Boardman?],
69151,London,1863,Sampson Low & Co.,"Eighty Years' Progress of British North America, showing the developmentof its natural resources ... with a large amount of statistical information, etc. [By H. Y. Hind, T. C. Keefer, C. Robb, J. G. Hodgins, M. H. Perley and W. Murray.]",
69299,York,1835,Harper & Bros.,"The American in England. By the author of “A year in Spain” [i.e. Alexander Slidell, afterwards Slidell Mackenzie]",
69302,London,1838,Henry Colburn,The American in Paris. [By John Sanderson.],
69314,Philadelphia,1830,Carey & Lea,Captain Hall in America. By an American [i.e. Richard Biddle],
69331,Boston,1838,W. D. Ticknor,"Desultory Reminiscences of a Tour through Germany, Switzerland and France. By an American [i.e. Hezekiah Hartley Wright]",
69339,Edinburgh,1823,A. Constable & Co.,"Essays, Descriptive and Moral; on Scenes in Italy, Switzerland, and France. By an American [i.e. Mathias Bruen]",
69359,York,1824,The Author,"A Journal of a Tour in Italy, in the year 1821. With a description of Gibraltar. Accompanied with several engravings. By an American [i.e. Theodore Dwight]",
69387,Boston,1830,Carter & Hendee,Poems. By an American [i.e. Henry Pickering],
69390,Baltimore,1818,N. G. Maxwell,Rambles in Italy in the years 1816-17. By an American [i.e. James Sloan],
69401,York,1833,J. & J. Harper,Sketches of Turkey in 1831 and 1832. By an American [i.e. James E. De Kay],
69813,Edinburgh,1865,Edmonston & Douglas,A Short American Tramp in the fall of 1864. By the editor of 'Life in Normandy' [i.e. John Francis Campbell],
69864,London,1828,"Hurst, Chance & Co.",The Americans as they are; described in a tour through the valley of the Mississippi. By the author of “Austria as it is” [i.e. Charles Sealsfield],
70023,London,1894,Oxford,"Aristophanes at Oxford. O.W. By Y.T.O. [i.e. L. C. M. S. Amery, F. W. Hirst and H. A. A. Cruso.]","Amery, L.S. (Leopold Stennett) - Right Hon"
70719,London,1720,R. Francklin,"[An Epistle-with a Petition in it-to Sir John Blount, Bart., one of the Directors of the South-Sea Company. [In verse.]]","AMHURST, Nicholas."
70845,London,1878,Sampson Low & Co.,Constantinople ... Translated ... by Caroline Tilton,"AMICIS, Edmondo de."
70846,York,1886,,With illustrations.],"AMICIS, Edmondo de."
70870,London,1879,"Cassell, Petter, Galpin & Co.",Morocco: its people and places ... Translated by C. Rollin-Tilton. With ... illustrations,"AMICIS, Edmondo de."
70881,London,1880,W. H. Allen & Co.,Holland ... Translated ... by Caroline Tilton: Olanda,"AMICIS, Edmondo de."
70882,London,1883,Remington & Co.,Holland ... Translated ... by M. Saltire: Olanda,"AMICIS, Edmondo de."
70912,York,1898,G. P. Putnam's Sons,On Blue Water ... Translated by Jacob B. Brown. Illustrated: Sullʹ Oceano,"AMICIS, Edmondo de."
71005,Palermo,1855,,"Dizionario topografico della Sicilia ... Tradotto ... ed annotato da Gioacchino Dimarzo. [With “Vita dell' autore,” by Francesco Ferrara.]","AMICO E STATELLA, Vito Maria."
74411,Santiago,1853,,La Dictadura de O'Higgins,"AMUNÁTEGUI REYES, Miguel Luis - the Elder"
74635,London,1894,Osgood & Co.,Only a Drummer Boy. (A novel.),"AMYAND, Arthur - pseud. [i.e. Edward Arthur Haggard.]"
74645,London,1747,Paul Vaillant,"Amyntor and Theodora: or, the Hermit. A poem. In three cantos. [By David Mallet.]",
74647,London,1748,,"[Amyntor and Theodora: or, the Hermit. A poem. In three cantos. [By David Mallet.]]",
74744,Edinburgh,1704,,"The Renegado Whip't. A satyre [in verse], in answer to A-n's [i.e. A. Pierce's] lybel on the author of the Essay on Marriage. [By-Forbes of Disblair.]",
75468,Chelmsford,1887,J. H. Clarke,Holy of Holies. Confessions of an Anarchist. [By John E. Barlas. Poems.],
75692,London,1762,T. Davies,"The Anatomist: or, the Sham Doctor. A farce, etc. [In one act. Adapted from Edward Ravenscroft's comedy.]",
75704,London,1694,Thomas Speed,"An Anatomy of Atheisme: a poem. By a person of quality [i.e. William Dawes, afterwards Archbishop of York]",
76338,Barcelona,1889,,Historia de Yucatán desde la época más remota hasta nuestros días ... Segunda edición. [With an introductory note on Eligio Ancona by Francisco Sosa.],"ANCONA, Eligio."
76454,London,1839,Richard Bentley,A Summer in Andalucia. [By George Dennis.]: Appendix,
77405,London,1888,"Griffith, Farran & Co.","The Story of the Mermaiden. Adapted from the German of Hans Andersen, by E. Ashe ... Illustrated by Laura Troubridge. [In verse.]: Eventyr. Single Tales","Andersen, H. C. (Hans Christian)"
77482,London,1846,Richard Bentley,A Poet's Bazaar. From the Danish ... by Charles Beckwith [i.e. C. Beckwith Lohmeyer.]: Other Works,"Andersen, H. C. (Hans Christian)"
77495,London,1851,Richard Bentley,Pictures of Sweden. [Translated by Charles Beckwith Lohmeyer.]: Other Works,"Andersen, H. C. (Hans Christian)"
77554,London,1848,Richard Bentley,"Rambles in the romantic regions of the Hartz Mountains, Saxon Switzerland, &c. ... From the original Danish ... by Charles Beckwith. [i.e. C. Beckwith Lohmeyer]: Other Works","Andersen, H. C. (Hans Christian)"
78142,London,1891,Chapman & Hall,"A Romance of N'Shabé. Being a record of startling adventures in South Central Africa, etc","ANDERSON, Andrew A. - and WALL (Alfred H.)"
78735,Glasgow,1859,T. Murray & Son,"The Burns Centenary Poems, a collection of fifty of the best out of many hundreds written on occasion of the centenary celebration ... Selected and edited by G. Anderson and J. Finlay","ANDERSON, George - of Glasgow, and FINLAY (John) of Glasgow?"
78740,Inverness,1890,“Northern Chronicle”,Handbook to the Highland Railway ... Season 1890. Ninth edition [of the work by G. and P. Anderson]. Revised and enlarged. By P. J. Anderson,"Anderson, George - of Inverness"
79249,London,1876,Macmillan & Co.,"Mandalay to Momien: a narrative of the two Expeditions to Western China of 1868 and 1875, under Colonel E. B. Sladen and Colonel H. Browne ... With maps and illustrations","ANDERSON, John - Superintendent, Indian Museum"
80465,Jedburgh,1899,T. S. Smail,Holloas from the Hills ... With illustrations by G. Denholm Armour,"ANDERSON, Thomas Scott."
80911,London,1875,Hurst & Blackett,Notes of Travel in South Africa. Edited by G. Lloyd. [With a portrait.],"ANDERSSON, Carl Johan."
81414,Westminster,1895,Constable & Co.,"The Fortune of a Spendthrift, and other items","ANDOM, R. - pseud., and HAREWOOD (Fred)"
81458,Andover,1885,J. C. Holmes,The Archives of Andover. By the Rev. C. Collier ... and the Rev. R. H. Clutterbuck. pt. 1,
82105,Lewes,1883,,"Warnham, in the County of Sussex. Its church, monuments, registers, and vicars ... Reprinted from the Sussex Archaeological Collections, etc","ANDRÉE, James Lewis - and RICE (Robert Garraway)"
84631,York,1867,D. Van Nostrand,History of the Campaign of Mobile; including the co-operative operations of Gen. Wilson's Cavalry in Alabama ... With maps and illustrations,"ANDREWS, Christopher Columbus."
85672,Deventer,1880,,"Panorama van Neerlands verleden, door P. J. Andriessen en W. J. Hofdijk.[With plates.]","Andriessen, P. J. (Pieter Jacob)"
87222,Providence,1899,Preston & Rounds Co.,"Diary of Colonel Israel Angell, commanding the Second Rhode Island Continental Regiment during the American Revolution, 1778-1781. Transcribed from the original manuscript, together with a biographical sketch of the author and illustrative notes by Edward Field ... Illustrated","ANGELL, Israel."
87934,Paris,1861,,"Inventaire analytique des archives anciennes de la Mairie d'Angers, suivi de tables et de documents inédits, publié sous les auspices du Conseil municipal, par M. Célestin Port",
88350,Paris,1898,,Royauté ou Empire. La France en 1814 d'après les rapports inédits du comte Anglès. [Edited by G. Firmin Didot.],"ANGLÈS, Jules Jean Baptiste - Count"
89469,London,1825,John Miller,"Masaniello, the fisherman of Naples: an historical play, etc. [In verse. By George Soane.]",Masaniello
89796,Frankfurt,1887,,Grundzüge der Landesnatur des Westjordanlandes ... Mit einem Vorworte von ... T. Fischer,"ANKEL, Otto."
90416,London,1891,Blackwood & Sons,Annals of a Fishing Village. Drawn from the notes of “A Son of the Marshes” [i.e. Denham Jordan]. Edited by J. A. Owen. [With plates.],
90417,London,1870,Hurst & Blackett,Annals of an Eventful Life. [By Sir George W. Dasent.],
90432,London,1874,S. Tinsley,"Annals of the Twenty-ninth Century; or, the Autobiography of the Tenth President of the World Republic. [By Andrew Blair.]",
90671,London,1899,D. Nutt,"Anna Ruina. [A drama in verse. By Michael Field, i.e. K. H. Bradley and E. E. Cooper.]",
91083,London,1809,William Miller,"Voyages and Travels to India, Ceylon, the Red Sea, Abyssinia, and Egypt. 1802, 1803, 1804, 1805 and 1806. [With plates by Henry Salt.]","ANNESLEY, George - Earl of Mountnorris"
91204,London,1877,Hurst & Blackett,"Annette. [A novel.] By the author of “St. Olave's,” etc. [i.e. Eliza Tabor, afterwards Stephenson.]",
91396,Roma,1853,,"Storia di Civitavecchia dalla sua origine fino all' anno 1848. [Edited, with a life of the author, by D. and B. Annovazzi. With plates.]","ANNOVAZZI, Vincenzo Giovanni Niccola - successively Bishop of Leros, of Anagni, and Archbishop of Iconium"
92162,Pescia,1879,,"La Valdinievole illustrata nella storia naturale, civile ed ecclesiastica dell'agricoltura, delle industrie e delle arti belle ... Opera postuma pubblicata per cura della famiglia e preceduta da un discorso sulla vita e sulle opere dell'autore scritto dal dottore Angiolo Bertacchi","ANSALDI, Giuseppe."
92702,London,1760,,"Verses on the Death of Lady Anson, addressed to her father. [By David Mallet.]","ANSON, Elizabeth - Baroness Anson"
93013,London,1862,W. H. Allen & Co.,The Channel Islands ... With illustrations drawn by P. J. Naftel [and with maps],"ANSTED, David Thomas - and LATHAM (Robert Gordon)"
93014,London,1865,W. H. Allen & Co.,[The Channel Islands ... With illustrations drawn by P. J. Naftel [and with maps].],"ANSTED, David Thomas - and LATHAM (Robert Gordon)"
93061,London,1830,"Hurst, Chance & Co.","The new Bath Guide ... With a biographical and topographical preface, and anecdotical annotations by John Britton ... Embellished with engravings [by George Cruikshank and S. Williams]","ANSTEY, Christopher."
93082,London,1897,J. M. Dent & Co.,"Baboo Jabberjee, B.A. ... With illustrations by J. Bernard Partridge","Anstey, F."
93124,London,1898,Harper & Bros.,[The Tinted Venus: a farcical romance.],"Anstey, F."
93565,London,1810,J. Richardson; L. N. Pannier,"South American Emancipation. Documents shewing the designs which have been in progress and the exertions made by General Miranda for the South American Emancipation, during the last twenty-five years. [With a portrait of Miranda, and a plan.]","ANTEPARA, José María."
94393,Exeter,1805,S. Woolmer,"The Anti-Corsican, a poem, in three cantos; inscribed to the Volunteers of Great-Britain. [A satire against Napoleon. By Matthew Rolleston.]",
94484,London,1887,Macmillan & Co.,The New Antigone. A romance. [By William Barry.],
94545,London,1844,Saunders & Otley,"Antigua and the Antiguans: a full account of the colony and its inhabitants from the time of the Caribs to the present day ... Also, an impartial view of slavery and the free labour systems, etc. [By Mrs. Flannigan.]: Appendix",
94892,London,1827,"Smith, Elder & Co.",Chronicles of London Bridge: by an Antiquary [i.e. Richard Thomson]. [With illustrations.],
94906,London,1813,W. Pople,The Modern Antique: or the Muse in the costume of Queen Anne. [By Isaac Gompertz.],
95781,Berlin,1889,,"Antonini Placentini Itinerarium, im unentstellten Text mit deutscher Übersetzung herausgegeben von Dr. J. Gildemeister",
96025,Edinburgh,1855,T. Constable & Co.,Doctor Antonio: a tale. By the author of Lorenzo Benoni [i.e. Giovanni D. Ruffini],
98625,London,1787,S. Bladon,"Apollo turn'd Stroller; or, Thereby hangs a Tale. A musical pasticcio in two parts, etc. [By Sir John Oldmixon.]",
99576,London,1794,J. Barker,"Songs, Choruses, &c. in The Apparition! A musical dramatic romance, in two acts [by J. C. Cross], etc",
99578,London,1710,The Booksellers,The Appartion [sic]. A poem. [By Abel Evans. A satire on Matthew Tindal's “The Rights of the Christian Church asserted.”],
99583,London,1846,Edward Lloyd,"The Apparition, a romance",
99710,London,1785,G. G. J. & J. Robinson,"Appearance is against them; a farce in two acts, etc. [By Elizabeth Inchbald.]",
99961,Malton,1822,R. Smithson,"The Vale of Apperley, and other poems. [By William Greenwood.]",
100453,Boston,1848,Eastburn's Press,Correspondence between Nathan Appleton and J. A. Lowell in relation to the early history of the city of Lowell,"APPLETON, Nathan - the Elder"
100850,London,1868,Newsagents’ Publishing Co.,"The Young Apprentice; or, the Watch-words of old London. [By V. I. Saint John.] With ... engravings, etc",
101009,London,1777,G. Kearsly,"April-Day, a burletta, in three acts. [In verse.] Written by the author of Midas [i.e. Kane O'Hara]",
101363,London,1801,J. Wright,[Cupid & Psyche. A mythological tale from the Golden Ass of Apuleius. [In verse. By Hudson Gurney.]]: Asinus Aureus. Selections. English,Apuleius.
101366,Great Yarmouth,1844,Charles Sloman,"Cupid and Psyche: a mythological tale, from the Golden Ass of Apuleius. [The preface signed: H. G., i.e. Hudson Gurney.]: Asinus Aureus. Selections. English",Apuleius.
103149,London,1893,"Eden, Remington & Co.","The Land of Ararat; or, Up the Roof of the World. By a special correspondent [i.e. Alexander Macdonald]",
103877,London,1877,E. Arber; A. Constable & Co.,An English Garner. Ingatherings from our history and literature,"ARBER, Edward."
104150,Paris,1859,,"Histoire des ducs et des comtes de Champagne, etc. (tom. 4-6 par M. H. d'Arbois de Jubainville avec la collaboration de M. L. Pigeotte.-tom. 7. Livre des vassaux du comté de Champagne et de Brie 1172-1222. Publié d'après le manuscrit unique des Archives de l'Empire par Auguste Longnon.)","ARBOIS DE JUBAINVILLE, Marie Henri d'."
104154,Paris,1889,,"[Les Premiers habitants de l'Europe d'après les auteurs de l'antiquité, et les recherches les plus récentes de la linguistique.]","ARBOIS DE JUBAINVILLE, Marie Henri d'.|ARBUTHNOT, James - of Peterhead"
105878,Milano,1883,,La Patria di Pietro Micca,"ARCHINTI, Luigi."
106158,Paris,1898,,Palerme et la civilisation en Sicile. Conférence ... Préface du Vte Combes de Lestrade,"ARCOLEO, Giorgio."
106294,London,1851,Francis & John Rivington,"Papers and Despatches relating to the Arctic Searching Expeditions of 1850-51. Together with a few remarks as to the probable course pursued by Sir John Franklin, etc. [Compiled by James Mangles. With maps.]",
